state_num,pew_bornagain,commonweight,state,state_name,population_total,year
47,2,1.38332002787192,TN,TENNESSEE,7051339,2022
13,2,0.108022126603616,GA,GEORGIA,10912876,2022
40,2,0.842401979078001,OK,OKLAHOMA,4019800,2022
12,2,1.48579720494796,FL,FLORIDA,22244823,2022
06,2,0.748861637686502,CA,CALIFORNIA,39029342,2022
48,2,2.64256464199847,TX,TEXAS,30029572,2022
12,2,0.37924490877,FL,FLORIDA,22244823,2022
49,2,0.247025460547873,UT,UTAH,3380800,2022
35,2,0.662664895044148,NM,NEW MEXICO,2113344,2022
36,1,0.105089235704033,NY,NEW YORK,19677151,2022
19,2,0.265914247449798,IA,IOWA,3200517,2022
39,2,0.196744977181545,OH,OHIO,11756058,2022
06,2,0.498900663090641,CA,CALIFORNIA,39029342,2022
26,2,2.19791697066849,MI,MICHIGAN,10034113,2022
37,2,0.187595569362833,NC,NORTH CAROLINA,10698973,2022
13,2,1.06916584800106,GA,GEORGIA,10912876,2022
08,1,1.26052201615386,CO,COLORADO,5839926,2022
12,2,0.282399428909814,FL,FLORIDA,22244823,2022
06,2,2.6257588927737,CA,CALIFORNIA,39029342,2022
47,2,3.56615986034627,TN,TENNESSEE,7051339,2022
04,1,0.647326905661206,AZ,ARIZONA,7359197,2022
13,2,0.222796312707076,GA,GEORGIA,10912876,2022
36,2,0.272380064913101,NY,NEW YORK,19677151,2022
29,2,0.812334475618425,MO,MISSOURI,6177957,2022
47,1,0.713359935785019,TN,TENNESSEE,7051339,2022
13,2,4.0473895579549,GA,GEORGIA,10912876,2022
48,2,1.2465392105049,TX,TEXAS,30029572,2022
28,2,0.150079049750102,MS,MISSISSIPPI,2940057,2022
06,1,1.75576898340502,CA,CALIFORNIA,39029342,2022
17,2,3.19891132449749,IL,ILLINOIS,12582032,2022
28,1,0.428143433714953,MS,MISSISSIPPI,2940057,2022
22,1,2.58245240521496,LA,LOUISIANA,4590241,2022
17,2,0.210896475131274,IL,ILLINOIS,12582032,2022
