state_name,year,ID
VIRGINIA,1994,396
WASHINGTON,1994,397
WEST VIRGINIA,1994,398
WISCONSIN,1994,399
WYOMING,1994,400
ALABAMA,1995,401
ALASKA,1995,402
ARIZONA,1995,403
ARKANSAS,1995,404
CALIFORNIA,1995,405
COLORADO,1995,406
CONNECTICUT,1995,407
DELAWARE,1995,408
FLORIDA,1995,409
GEORGIA,1995,410
HAWAII,1995,411
IDAHO,1995,412
ILLINOIS,1995,413
INDIANA,1995,414
IOWA,1995,415
KANSAS,1995,416
KENTUCKY,1995,417
LOUISIANA,1995,418
MAINE,1995,419
MARYLAND,1995,420
MASSACHUSETTS,1995,421
MICHIGAN,1995,422
MINNESOTA,1995,423
MISSISSIPPI,1995,424
MISSOURI,1995,425
MONTANA,1995,426
NEBRASKA,1995,427
NEVADA,1995,428
NEW HAMPSHIRE,1995,429
NEW JERSEY,1995,430
NEW MEXICO,1995,431
NEW YORK,1995,432
NORTH CAROLINA,1995,433
NORTH DAKOTA,1995,434
OHIO,1995,435
OKLAHOMA,1995,436
OREGON,1995,437
PENNSYLVANIA,1995,438
RHODE ISLAND,1995,439
SOUTH CAROLINA,1995,440
SOUTH DAKOTA,1995,441
TENNESSEE,1995,442
TEXAS,1995,443
UTAH,1995,444
VERMONT,1995,445
VIRGINIA,1995,446
WASHINGTON,1995,447
WEST VIRGINIA,1995,448
WISCONSIN,1995,449
WYOMING,1995,450
ALABAMA,1996,451
ALASKA,1996,452
ARIZONA,1996,453
ARKANSAS,1996,454
CALIFORNIA,1996,455
COLORADO,1996,456
CONNECTICUT,1996,457
DELAWARE,1996,458
FLORIDA,1996,459
GEORGIA,1996,460
HAWAII,1996,461
IDAHO,1996,462
ILLINOIS,1996,463
INDIANA,1996,464
IOWA,1996,465
KANSAS,1996,466
KENTUCKY,1996,467
LOUISIANA,1996,468
MAINE,1996,469
MARYLAND,1996,470
MASSACHUSETTS,1996,471
MICHIGAN,1996,472
MINNESOTA,1996,473
MISSISSIPPI,1996,474
MISSOURI,1996,475
MONTANA,1996,476
NEBRASKA,1996,477
NEVADA,1996,478
NEW HAMPSHIRE,1996,479
NEW JERSEY,1996,480
NEW MEXICO,1996,481
NEW YORK,1996,482
NORTH CAROLINA,1996,483
NORTH DAKOTA,1996,484
OHIO,1996,485
OKLAHOMA,1996,486
OREGON,1996,487
PENNSYLVANIA,1996,488
RHODE ISLAND,1996,489
SOUTH CAROLINA,1996,490
SOUTH DAKOTA,1996,491
TENNESSEE,1996,492
TEXAS,1996,493
UTAH,1996,494
VERMONT,1996,495
VIRGINIA,1996,496
WASHINGTON,1996,497
WEST VIRGINIA,1996,498
WISCONSIN,1996,499
WYOMING,1996,500
ALABAMA,1997,501
ALASKA,1997,502
ARIZONA,1997,503
ARKANSAS,1997,504
CALIFORNIA,1997,505
COLORADO,1997,506
CONNECTICUT,1997,507
DELAWARE,1997,508
FLORIDA,1997,509
GEORGIA,1997,510
HAWAII,1997,511
IDAHO,1997,512
ILLINOIS,1997,513
INDIANA,1997,514
IOWA,1997,515
KANSAS,1997,516
KENTUCKY,1997,517
LOUISIANA,1997,518
MAINE,1997,519
MARYLAND,1997,520
MASSACHUSETTS,1997,521
MICHIGAN,1997,522
MINNESOTA,1997,523
MISSISSIPPI,1997,524
MISSOURI,1997,525
MONTANA,1997,526
NEBRASKA,1997,527
NEVADA,1997,528
NEW HAMPSHIRE,1997,529
NEW JERSEY,1997,530
NEW MEXICO,1997,531
NEW YORK,1997,532
NORTH CAROLINA,1997,533
NORTH DAKOTA,1997,534
OHIO,1997,535
OKLAHOMA,1997,536
OREGON,1997,537
PENNSYLVANIA,1997,538
RHODE ISLAND,1997,539
SOUTH CAROLINA,1997,540
SOUTH DAKOTA,1997,541
TENNESSEE,1997,542
TEXAS,1997,543
UTAH,1997,544
VERMONT,1997,545
VIRGINIA,1997,546
WASHINGTON,1997,547
WEST VIRGINIA,1997,548
WISCONSIN,1997,549
WYOMING,1997,550
ALABAMA,1998,551
ALASKA,1998,552
ARIZONA,1998,553
ARKANSAS,1998,554
CALIFORNIA,1998,555
COLORADO,1998,556
CONNECTICUT,1998,557
DELAWARE,1998,558
FLORIDA,1998,559
GEORGIA,1998,560
HAWAII,1998,561
IDAHO,1998,562
ILLINOIS,1998,563
INDIANA,1998,564
IOWA,1998,565
KANSAS,1998,566
KENTUCKY,1998,567
LOUISIANA,1998,568
MAINE,1998,569
MARYLAND,1998,570
MASSACHUSETTS,1998,571
MICHIGAN,1998,572
MINNESOTA,1998,573
MISSISSIPPI,1998,574
MISSOURI,1998,575
MONTANA,1998,576
NEBRASKA,1998,577
NEVADA,1998,578
NEW HAMPSHIRE,1998,579
NEW JERSEY,1998,580
NEW MEXICO,1998,581
NEW YORK,1998,582
NORTH CAROLINA,1998,583
NORTH DAKOTA,1998,584
OHIO,1998,585
OKLAHOMA,1998,586
OREGON,1998,587
PENNSYLVANIA,1998,588
RHODE ISLAND,1998,589
SOUTH CAROLINA,1998,590
SOUTH DAKOTA,1998,591
TENNESSEE,1998,592
TEXAS,1998,593
UTAH,1998,594
VERMONT,1998,595
VIRGINIA,1998,596
WASHINGTON,1998,597
WEST VIRGINIA,1998,598
WISCONSIN,1998,599
WYOMING,1998,600
ALABAMA,1999,601
ALASKA,1999,602
ARIZONA,1999,603
ARKANSAS,1999,604
CALIFORNIA,1999,605
COLORADO,1999,606
CONNECTICUT,1999,607
DELAWARE,1999,608
FLORIDA,1999,609
GEORGIA,1999,610
HAWAII,1999,611
IDAHO,1999,612
ILLINOIS,1999,613
INDIANA,1999,614
IOWA,1999,615
KANSAS,1999,616
KENTUCKY,1999,617
LOUISIANA,1999,618
MAINE,1999,619
MARYLAND,1999,620
MASSACHUSETTS,1999,621
MICHIGAN,1999,622
MINNESOTA,1999,623
MISSISSIPPI,1999,624
MISSOURI,1999,625
MONTANA,1999,626
NEBRASKA,1999,627
NEVADA,1999,628
NEW HAMPSHIRE,1999,629
NEW JERSEY,1999,630
NEW MEXICO,1999,631
NEW YORK,1999,632
NORTH CAROLINA,1999,633
NORTH DAKOTA,1999,634
OHIO,1999,635
OKLAHOMA,1999,636
OREGON,1999,637
PENNSYLVANIA,1999,638
RHODE ISLAND,1999,639
SOUTH CAROLINA,1999,640
SOUTH DAKOTA,1999,641
TENNESSEE,1999,642
TEXAS,1999,643
UTAH,1999,644
VERMONT,1999,645
VIRGINIA,1999,646
WASHINGTON,1999,647
WEST VIRGINIA,1999,648
WISCONSIN,1999,649
WYOMING,1999,650
ALABAMA,2000,651
ALASKA,2000,652
ARIZONA,2000,653
ARKANSAS,2000,654
CALIFORNIA,2000,655
COLORADO,2000,656
CONNECTICUT,2000,657
DELAWARE,2000,658
FLORIDA,2000,659
GEORGIA,2000,660
HAWAII,2000,661
IDAHO,2000,662
ILLINOIS,2000,663
INDIANA,2000,664
IOWA,2000,665
KANSAS,2000,666
KENTUCKY,2000,667
LOUISIANA,2000,668
MAINE,2000,669
MARYLAND,2000,670
MASSACHUSETTS,2000,671
MICHIGAN,2000,672
MINNESOTA,2000,673
MISSISSIPPI,2000,674
MISSOURI,2000,675
MONTANA,2000,676
NEBRASKA,2000,677
NEVADA,2000,678
NEW HAMPSHIRE,2000,679
NEW JERSEY,2000,680
NEW MEXICO,2000,681
NEW YORK,2000,682
NORTH CAROLINA,2000,683
NORTH DAKOTA,2000,684
OHIO,2000,685
OKLAHOMA,2000,686
OREGON,2000,687
PENNSYLVANIA,2000,688
RHODE ISLAND,2000,689
SOUTH CAROLINA,2000,690
SOUTH DAKOTA,2000,691
TENNESSEE,2000,692
TEXAS,2000,693
UTAH,2000,694
VERMONT,2000,695
VIRGINIA,2000,696
WASHINGTON,2000,697
WEST VIRGINIA,2000,698
WISCONSIN,2000,699
WYOMING,2000,700
ALABAMA,2001,701
ALASKA,2001,702
ARIZONA,2001,703
ARKANSAS,2001,704
CALIFORNIA,2001,705
COLORADO,2001,706
CONNECTICUT,2001,707
DELAWARE,2001,708
FLORIDA,2001,709
GEORGIA,2001,710
HAWAII,2001,711
IDAHO,2001,712
ILLINOIS,2001,713
INDIANA,2001,714
IOWA,2001,715
KANSAS,2001,716
KENTUCKY,2001,717
LOUISIANA,2001,718
MAINE,2001,719
MARYLAND,2001,720
MASSACHUSETTS,2001,721
MICHIGAN,2001,722
MINNESOTA,2001,723
MISSISSIPPI,2001,724
MISSOURI,2001,725
MONTANA,2001,726
NEBRASKA,2001,727
NEVADA,2001,728
NEW HAMPSHIRE,2001,729
NEW JERSEY,2001,730
NEW MEXICO,2001,731
NEW YORK,2001,732
NORTH CAROLINA,2001,733
NORTH DAKOTA,2001,734
OHIO,2001,735
OKLAHOMA,2001,736
OREGON,2001,737
PENNSYLVANIA,2001,738
RHODE ISLAND,2001,739
SOUTH CAROLINA,2001,740
SOUTH DAKOTA,2001,741
TENNESSEE,2001,742
TEXAS,2001,743
UTAH,2001,744
VERMONT,2001,745
VIRGINIA,2001,746
WASHINGTON,2001,747
WEST VIRGINIA,2001,748
WISCONSIN,2001,749
WYOMING,2001,750
ALABAMA,2002,751
ALASKA,2002,752
ARIZONA,2002,753
ARKANSAS,2002,754
CALIFORNIA,2002,755
COLORADO,2002,756
CONNECTICUT,2002,757
DELAWARE,2002,758
FLORIDA,2002,759
GEORGIA,2002,760
HAWAII,2002,761
IDAHO,2002,762
ILLINOIS,2002,763
INDIANA,2002,764
IOWA,2002,765
KANSAS,2002,766
KENTUCKY,2002,767
LOUISIANA,2002,768
MAINE,2002,769
MARYLAND,2002,770
MASSACHUSETTS,2002,771
MICHIGAN,2002,772
MINNESOTA,2002,773
MISSISSIPPI,2002,774
MISSOURI,2002,775
MONTANA,2002,776
NEBRASKA,2002,777
NEVADA,2002,778
NEW HAMPSHIRE,2002,779
NEW JERSEY,2002,780
NEW MEXICO,2002,781
NEW YORK,2002,782
NORTH CAROLINA,2002,783
NORTH DAKOTA,2002,784
OHIO,2002,785
OKLAHOMA,2002,786
OREGON,2002,787
PENNSYLVANIA,2002,788
RHODE ISLAND,2002,789
SOUTH CAROLINA,2002,790
SOUTH DAKOTA,2002,791
TENNESSEE,2002,792
TEXAS,2002,793
UTAH,2002,794
VERMONT,2002,795
VIRGINIA,2002,796
WASHINGTON,2002,797
WEST VIRGINIA,2002,798
WISCONSIN,2002,799
WYOMING,2002,800
ALABAMA,2003,801
ALASKA,2003,802
ARIZONA,2003,803
ARKANSAS,2003,804
CALIFORNIA,2003,805
COLORADO,2003,806
CONNECTICUT,2003,807
DELAWARE,2003,808
FLORIDA,2003,809
GEORGIA,2003,810
HAWAII,2003,811
IDAHO,2003,812
ILLINOIS,2003,813
INDIANA,2003,814
IOWA,2003,815
KANSAS,2003,816
KENTUCKY,2003,817
LOUISIANA,2003,818
MAINE,2003,819
MARYLAND,2003,820
MASSACHUSETTS,2003,821
MICHIGAN,2003,822
MINNESOTA,2003,823
MISSISSIPPI,2003,824
MISSOURI,2003,825
MONTANA,2003,826
NEBRASKA,2003,827
NEVADA,2003,828
NEW HAMPSHIRE,2003,829
NEW JERSEY,2003,830
NEW MEXICO,2003,831
NEW YORK,2003,832
NORTH CAROLINA,2003,833
NORTH DAKOTA,2003,834
OHIO,2003,835
OKLAHOMA,2003,836
OREGON,2003,837
PENNSYLVANIA,2003,838
RHODE ISLAND,2003,839
SOUTH CAROLINA,2003,840
SOUTH DAKOTA,2003,841
TENNESSEE,2003,842
TEXAS,2003,843
UTAH,2003,844
VERMONT,2003,845
VIRGINIA,2003,846
WASHINGTON,2003,847
WEST VIRGINIA,2003,848
WISCONSIN,2003,849
WYOMING,2003,850
ALABAMA,2004,851
ALASKA,2004,852
ARIZONA,2004,853
ARKANSAS,2004,854
CALIFORNIA,2004,855
COLORADO,2004,856
CONNECTICUT,2004,857
DELAWARE,2004,858
FLORIDA,2004,859
GEORGIA,2004,860
HAWAII,2004,861
IDAHO,2004,862
ILLINOIS,2004,863
INDIANA,2004,864
IOWA,2004,865
KANSAS,2004,866
KENTUCKY,2004,867
LOUISIANA,2004,868
MAINE,2004,869
MARYLAND,2004,870
MASSACHUSETTS,2004,871
MICHIGAN,2004,872
MINNESOTA,2004,873
MISSISSIPPI,2004,874
MISSOURI,2004,875
MONTANA,2004,876
NEBRASKA,2004,877
NEVADA,2004,878
NEW HAMPSHIRE,2004,879
NEW JERSEY,2004,880
NEW MEXICO,2004,881
NEW YORK,2004,882
NORTH CAROLINA,2004,883
NORTH DAKOTA,2004,884
OHIO,2004,885
OKLAHOMA,2004,886
OREGON,2004,887
PENNSYLVANIA,2004,888
RHODE ISLAND,2004,889
SOUTH CAROLINA,2004,890
SOUTH DAKOTA,2004,891
TENNESSEE,2004,892
TEXAS,2004,893
UTAH,2004,894
VERMONT,2004,895
VIRGINIA,2004,896
WASHINGTON,2004,897
WEST VIRGINIA,2004,898
WISCONSIN,2004,899
WYOMING,2004,900
ALABAMA,2005,901
ALASKA,2005,902
ARIZONA,2005,903
ARKANSAS,2005,904
CALIFORNIA,2005,905
COLORADO,2005,906
CONNECTICUT,2005,907
DELAWARE,2005,908
FLORIDA,2005,909
GEORGIA,2005,910
HAWAII,2005,911
IDAHO,2005,912
ILLINOIS,2005,913
INDIANA,2005,914
IOWA,2005,915
KANSAS,2005,916
KENTUCKY,2005,917
LOUISIANA,2005,918
MAINE,2005,919
MARYLAND,2005,920
MASSACHUSETTS,2005,921
MICHIGAN,2005,922
MINNESOTA,2005,923
