state,state_name,incomepcap,year
SD,SOUTH DAKOTA,52166,2018
TN,TENNESSEE,46870,2018
TX,TEXAS,52005,2018
UT,UTAH,45665,2018
VT,VERMONT,52409,2018
VA,VIRGINIA,56619,2018
WA,WASHINGTON,60221,2018
WV,WEST VIRGINIA,41279,2018
WI,WISCONSIN,50908,2018
WY,WYOMING,60472,2018
AL,ALABAMA,43288,2019
AK,ALASKA,61316,2019
AZ,ARIZONA,48124,2019
AR,ARKANSAS,44324,2019
CA,CALIFORNIA,64919,2019
CO,COLORADO,62124,2019
CT,CONNECTICUT,75533,2019
DE,DELAWARE,54217,2019
FL,FLORIDA,54560,2019
GA,GEORGIA,49083,2019
HI,HAWAII,54700,2019
ID,IDAHO,45924,2019
IL,ILLINOIS,58438,2019
IN,INDIANA,48749,2019
IA,IOWA,50367,2019
KS,KANSAS,52876,2019
KY,KENTUCKY,43875,2019
LA,LOUISIANA,47668,2019
ME,MAINE,50728,2019
MD,MARYLAND,62313,2019
MA,MASSACHUSETTS,73213,2019
MI,MICHIGAN,49142,2019
MN,MINNESOTA,58543,2019
MS,MISSISSIPPI,39445,2019
MO,MISSOURI,49001,2019
MT,MONTANA,50289,2019
NE,NEBRASKA,54182,2019
NV,NEVADA,52602,2019
NH,NEW HAMPSHIRE,64747,2019
NJ,NEW JERSEY,68438,2019
NM,NEW MEXICO,43530,2019
NY,NEW YORK,67366,2019
NC,NORTH CAROLINA,48741,2019
ND,NORTH DAKOTA,57110,2019
OH,OHIO,50035,2019
OK,OKLAHOMA,48646,2019
OR,OREGON,52718,2019
PA,PENNSYLVANIA,56952,2019
RI,RHODE ISLAND,55830,2019
SC,SOUTH CAROLINA,46681,2019
SD,SOUTH DAKOTA,55294,2019
TN,TENNESSEE,49343,2019
TX,TEXAS,54076,2019
UT,UTAH,48580,2019
VT,VERMONT,55442,2019
VA,VIRGINIA,59073,2019
WA,WASHINGTON,64189,2019
WV,WEST VIRGINIA,42951,2019
WI,WISCONSIN,52893,2019
WY,WYOMING,64117,2019
AL,ALABAMA,46119,2020
AK,ALASKA,62715,2020
AZ,ARIZONA,52313,2020
AR,ARKANSAS,47123,2020
CA,CALIFORNIA,70643,2020
CO,COLORADO,65352,2020
CT,CONNECTICUT,78526,2020
DE,DELAWARE,56311,2020
FL,FLORIDA,57240,2020
GA,GEORGIA,51967,2020
HI,HAWAII,57276,2020
ID,IDAHO,49453,2020
IL,ILLINOIS,62132,2020
IN,INDIANA,52194,2020
IA,IOWA,53280,2020
KS,KANSAS,55935,2020
KY,KENTUCKY,47489,2020
LA,LOUISIANA,50804,2020
ME,MAINE,54861,2020
MD,MARYLAND,65680,2020
MA,MASSACHUSETTS,78685,2020
MI,MICHIGAN,53378,2020
MN,MINNESOTA,62210,2020
MS,MISSISSIPPI,42698,2020
MO,MISSOURI,52112,2020
MT,MONTANA,54062,2020
NE,NEBRASKA,57387,2020
NV,NEVADA,55378,2020
NH,NEW HAMPSHIRE,68505,2020
NJ,NEW JERSEY,71567,2020
NM,NEW MEXICO,46742,2020
NY,NEW YORK,71743,2020
NC,NORTH CAROLINA,51938,2020
ND,NORTH DAKOTA,60821,2020
OH,OHIO,53514,2020
OK,OKLAHOMA,50481,2020
OR,OREGON,56962,2020
PA,PENNSYLVANIA,60663,2020
RI,RHODE ISLAND,59935,2020
SC,SOUTH CAROLINA,49095,2020
SD,SOUTH DAKOTA,60398,2020
TN,TENNESSEE,52310,2020
TX,TEXAS,55573,2020
UT,UTAH,52191,2020
VT,VERMONT,59260,2020
VA,VIRGINIA,62157,2020
WA,WASHINGTON,68304,2020
WV,WEST VIRGINIA,45199,2020
WI,WISCONSIN,55904,2020
WY,WYOMING,65744,2020
AL,ALABAMA,49671,2021
AK,ALASKA,65677,2021
AZ,ARIZONA,55574,2021
AR,ARKANSAS,50588,2021
CA,CALIFORNIA,76800,2021
CO,COLORADO,70715,2021
CT,CONNECTICUT,82885,2021
DE,DELAWARE,59846,2021
FL,FLORIDA,62136,2021
GA,GEORGIA,55846,2021
HI,HAWAII,60711,2021
ID,IDAHO,52276,2021
IL,ILLINOIS,67165,2021
IN,INDIANA,56435,2021
IA,IOWA,57080,2021
KS,KANSAS,58857,2021
KY,KENTUCKY,51298,2021
LA,LOUISIANA,54181,2021
ME,MAINE,58272,2021
MD,MARYLAND,69710,2021
MA,MASSACHUSETTS,83593,2021
MI,MICHIGAN,56569,2021
MN,MINNESOTA,66232,2021
MS,MISSISSIPPI,45887,2021
MO,MISSOURI,55310,2021
MT,MONTANA,56848,2021
NE,NEBRASKA,61210,2021
NV,NEVADA,60167,2021
NH,NEW HAMPSHIRE,73279,2021
NJ,NEW JERSEY,77009,2021
NM,NEW MEXICO,50292,2021
NY,NEW YORK,76753,2021
NC,NORTH CAROLINA,56095,2021
ND,NORTH DAKOTA,64276,2021
OH,OHIO,56955,2021
OK,OKLAHOMA,53808,2021
OR,OREGON,61449,2021
PA,PENNSYLVANIA,64042,2021
RI,RHODE ISLAND,64296,2021
SC,SOUTH CAROLINA,52441,2021
SD,SOUTH DAKOTA,64405,2021
TN,TENNESSEE,56616,2021
TX,TEXAS,59802,2021
UT,UTAH,56000,2021
VT,VERMONT,61748,2021
VA,VIRGINIA,66190,2021
WA,WASHINGTON,73755,2021
WV,WEST VIRGINIA,48418,2021
WI,WISCONSIN,59787,2021
WY,WYOMING,69584,2021
AL,ALABAMA,50637,2022
AK,ALASKA,68919,2022
AZ,ARIZONA,56667,2022
AR,ARKANSAS,51787,2022
CA,CALIFORNIA,77339,2022
CO,COLORADO,74167,2022
CT,CONNECTICUT,84972,2022
DE,DELAWARE,61387,2022
FL,FLORIDA,63597,2022
GA,GEORGIA,57129,2022
HI,HAWAII,61175,2022
ID,IDAHO,54537,2022
IL,ILLINOIS,68822,2022
