state_name,white_pop,hispanic_pop,black_pop,female_pop,year,state,population_total,pct_black,pct_white,pct_hispanic,pct_female,pct_male
CONNECTICUT,2741892,562347,378932,1831299,2016,CT,3578141,0.105901919460413,0.766289534146363,0.15716177758227,0.511801798755275,0.488198201244725
DELAWARE,659091,87152,209911,491833,2016,DE,948921,0.221210195580032,0.694568884027227,0.0918432619786052,0.518307635725208,0.481692364274792
FLORIDA,15574165,5126578,3310428,10541579,2016,FL,20613477,0.160595323147085,0.755533139799753,0.248700304174788,0.511392570986447,0.488607429013553
GEORGIA,6054861,962334,3254495,5292221,2016,GA,10301890,0.315912419954008,0.587742734585595,0.0934133445416327,0.513713600125802,0.486286399874198
HAWAII,357994,148150,25898,710500,2016,HI,1427559,0.0181414568504699,0.250773523195889,0.103778547856866,0.497702721919024,0.502297278080976
IDAHO,1510119,207248,11437,841937,2016,ID,1682380,0.00679810744302714,0.897608744754455,0.123187389293739,0.50044401383754,0.49955598616246
ILLINOIS,9123763,2178790,1813477,6511815,2016,IL,12820527,0.141451049555139,0.711652726912084,0.169945432040352,0.507921008239365,0.492078991760635
INDIANA,5536418,448079,617745,3365716,2016,IN,6634304,0.0931137614435516,0.834513763614088,0.0675397147914838,0.507320134862677,0.492679865137323
IOWA,2834162,179062,111867,1578025,2016,IA,3131371,0.0357246075281402,0.905086621802399,0.0571832593455071,0.503940606207313,0.496059393792687
KANSAS,2458966,336909,166551,1458436,2016,KS,2910844,0.0572174255988985,0.844760488710491,0.115742719293786,0.501035438518863,0.498964561481138
KENTUCKY,3866333,151920,366157,2257160,2016,KY,4438182,0.082501573842623,0.871152422320671,0.0342302321085526,0.508577611283179,0.491422388716821
LOUISIANA,2901495,231168,1514755,2389786,2016,LA,4678135,0.323794631835122,0.62022472630653,0.0494145637096835,0.510841606751408,0.489158393248592
MAINE,1257120,20714,19963,680777,2016,ME,1331317,0.0149949260769599,0.944267969236478,0.0155590291418197,0.511356048183866,0.488643951816134
MARYLAND,3397255,586730,1793593,3098674,2016,MD,6003323,0.298766699709478,0.565895754734503,0.0977342048728679,0.516159800164009,0.483840199835991
MASSACHUSETTS,5350175,779696,506677,3505962,2016,MA,6823608,0.0742535327351747,0.784068340385321,0.114264477091885,0.513798858316597,0.486201141683403
MICHIGAN,7793481,491430,1363336,5045080,2016,MI,9950571,0.137010830835738,0.783219475545675,0.0493871155735686,0.507014120094214,0.492985879905786
MINNESOTA,4596566,288460,331308,2772006,2016,MN,5522744,0.0599897442285936,0.832297495592771,0.0522312821307669,0.501925492110444,0.498074507889556
MISSISSIPPI,1748734,86733,1134958,1547792,2016,MS,2987938,0.379846569774875,0.585264486746378,0.0290277107490182,0.518013425981396,0.481986574018604
MISSOURI,5011507,243567,702946,3098349,2016,MO,6087135,0.115480599658131,0.823294866961222,0.0400134053212225,0.508999553977364,0.491000446022636
MONTANA,927374,37090,3949,516497,2016,MT,1040859,0.00379398170165219,0.890969862392505,0.0356340292008812,0.49622187058958,0.50377812941042
NEBRASKA,1674863,202449,89879,956992,2016,NE,1905616,0.0471653260677912,0.878908972216858,0.106238087841412,0.502195615486016,0.497804384513984
NEVADA,1966690,836626,260993,1466905,2016,NV,2917563,0.0894558232332944,0.674086557856677,0.286755076068623,0.502784344331211,0.497215655668789
NEW HAMPSHIRE,1247155,47271,16671,670073,2016,NH,1342307,0.0124196625660151,0.929113086648583,0.0352162359281446,0.499195042564779,0.500804957435222
NEW JERSEY,6090908,1786669,1194585,4574258,2016,NJ,8870827,0.13466444560355,0.686622340848266,0.201409519089934,0.515651810141264,0.484348189858736
NEW MEXICO,1539634,1009876,41043,1050791,2016,NM,2091630,0.0196224953744209,0.736092903620621,0.482817706764581,0.502379005847114,0.497620994152886
NEW YORK,12530463,3747614,3080534,10163239,2016,NY,19633428,0.156902503220528,0.638220844571819,0.19087924941075,0.517649745118377,0.482350254881623
NORTH CAROLINA,6989065,931110,2182212,5213407,2016,NC,10154788,0.214894885053238,0.68825316688049,0.0916917221708617,0.513393977304105,0.486606022695895
NORTH DAKOTA,660919,26434,19250,367772,2016,ND,754434,0.0255158171556425,0.876046148503381,0.0350381875684288,0.487480680881297,0.512519319118704
OHIO,9476221,420081,1443510,5922773,2016,OH,11634370,0.124072897801944,0.814502289337541,0.0361068970644736,0.509075523642449,0.490924476357551
OKLAHOMA,2841467,403936,287373,1980288,2016,OK,3926331,0.0731912312028711,0.723695225899192,0.102878743539452,0.504360941550776,0.495639058449224
OREGON,3455810,522568,79575,2067427,2016,OR,4089976,0.0194561043878986,0.84494627841337,0.127767986902613,0.505486340262143,0.494513659737857
PENNSYLVANIA,10340877,900002,1407047,6521357,2016,PA,12782275,0.110077979076495,0.809001292805858,0.0704101578161947,0.510187505745261,0.48981249425474
RHODE ISLAND,850105,157352,67526,545068,2016,RI,1056770,0.0638984831136387,0.80443710551965,0.148899003567474,0.515786784257691,0.484213215742309
SOUTH CAROLINA,3342552,272791,1337644,2555776,2016,SC,4957968,0.269796819987543,0.674177808327928,0.0550207262330051,0.515488603395585,0.484511396604415
SOUTH DAKOTA,732939,32227,14524,429786,2016,SD,862996,0.0168297419686766,0.849295941116761,0.0373431626566056,0.498016213284882,0.501983786715118
TENNESSEE,5177478,347442,1114434,3404136,2016,TN,6646010,0.167684670952948,0.779035541625727,0.0522782842637914,0.512207474860856,0.487792525139144
