state,state_name,year,percent_black,percent_female,percent_hs,percent_college
NM,NEW MEXICO,2001,1.20068610634648,51.9725557461407,56.7753001715266,22.2984562607204
NM,NEW MEXICO,2002,1.32890365448505,54.8172757475083,65.78073089701,26.4119601328904
NM,NEW MEXICO,2003,0.863557858376511,50.259067357513,62.0034542314335,21.2435233160622
NM,NEW MEXICO,2004,3.11284046692607,55.0583657587549,59.727626459144,21.9844357976654
NM,NEW MEXICO,2005,1.0351966873706,52.7950310559006,58.7991718426501,22.360248447205
NM,NEW MEXICO,2006,0.619834710743802,49.5867768595041,63.0165289256198,25.6198347107438
NM,NEW MEXICO,2007,2.71317829457364,53.4883720930233,62.015503875969,25.7751937984496
NM,NEW MEXICO,2008,2.7027027027027,50.7276507276507,63.6174636174636,28.0665280665281
NM,NEW MEXICO,2009,1.3953488372093,50.6976744186047,58.8372093023256,23.0232558139535
NM,NEW MEXICO,2010,2.76679841897233,50.197628458498,64.8221343873518,26.4822134387352
NM,NEW MEXICO,2011,3.125,51.3020833333333,64.5833333333334,31.25
NM,NEW MEXICO,2012,2.24719101123596,51.2359550561798,65.3932584269663,29.438202247191
NM,NEW MEXICO,2013,2.64550264550265,51.5873015873016,66.9312169312169,25.6613756613757
NM,NEW MEXICO,2014,0.581395348837209,53.4883720930233,66.2790697674419,34.3023255813954
NM,NEW MEXICO,2015,1.21412803532009,53.7527593818985,63.2450331125828,27.0419426048565
NM,NEW MEXICO,2016,1.7743979721166,51.7110266159696,65.9062103929024,26.489226869455
NM,NEW MEXICO,2017,2.88184438040346,52.0172910662824,68.5878962536023,30.2593659942363
NM,NEW MEXICO,2018,1.25195618153365,54.4600938967136,73.39593114241,28.4820031298905
NM,NEW MEXICO,2019,4.09448818897638,52.2834645669292,71.1811023622047,31.9685039370079
NM,NEW MEXICO,2020,4.11184210526316,52.3026315789474,71.875,35.5263157894737
NM,NEW MEXICO,2021,1.17252931323283,52.9313232830821,73.3668341708543,34.3383584589615
