state,state_no,state_name,state_fips,state_icpsr,year,female_pop,male_pop,black_pop,pct_hispanic,pct_white,population_total,white_pop,hispanic_pop,pct_female,pct_male,pct_black
MA,21,MASSACHUSETTS,25,3,1993,,,357301,,,6012000,,,,,
MA,21,MASSACHUSETTS,25,3,1994,3100000,2900000,365072,,,6041000,,,0.513160072835623,0.480052971362357,
MA,21,MASSACHUSETTS,25,3,1995,3100000,2900000,372244,,,6074000,,,0.510372077708265,0.477444846888377,
MA,21,MASSACHUSETTS,25,3,1996,3200000,2900000,380476,,,6092000,,,0.525279054497702,0.476034143138542,
MA,21,MASSACHUSETTS,25,3,1997,3200000,3e+06,392930,,,6118000,,,0.52304674730304,0.4903563255966,
MA,21,MASSACHUSETTS,25,3,1998,3200000,3e+06,405072,,,6147000,,,0.520579144298032,0.488042947779405,
MA,21,MASSACHUSETTS,25,3,1999,3200000,3e+06,416891,,,6175169,,,0.518204441044448,0.48581666347917,
MA,21,MASSACHUSETTS,25,3,2000,3300000,3100000,427980,,,6349097,,,0.519758951548543,0.48825840903045,
MA,21,MASSACHUSETTS,25,3,2001,,,438051,,,6401164,,,,,
MA,21,MASSACHUSETTS,25,3,2002,3300000,3100000,446864,,,6421800,,,0.513874614594039,0.482730698558037,
MA,21,MASSACHUSETTS,25,3,2003,3300000,3100000,453831,,,6420357,,,0.513990109895758,0.4828391941445,
MA,21,MASSACHUSETTS,25,3,2004,3300000,3100000,459251,,,6407382,,,0.515030943995535,0.483816947389745,
MA,21,MASSACHUSETTS,25,3,2005,3300000,3100000,465340,,,6433367,,,0.51295068352233,0.481862763308855,
MA,21,MASSACHUSETTS,25,3,2006,3300000,3100000,473058,,,6437193,,,0.512645806953435,0.481576364107772,
