state_fips,state_name,state_num,state,state_icpsr,unified,party_control,year
4,Arizona,3,AZ,61,1,REP,2019
5,Arkansas,4,AR,42,1,REP,2019
6,California,5,CA,71,1,DEM,2019
8,Colorado,6,CO,62,1,DEM,2019
9,Connecticut,7,CT,1,1,DEM,2019
10,Delaware,8,DE,11,1,DEM,2019
12,Florida,9,FL,43,1,REP,2019
13,Georgia,10,GA,44,1,REP,2019
15,Hawaii,11,HI,82,1,DEM,2019
16,Idaho,12,ID,63,1,REP,2019
17,Illinois,13,IL,21,1,DEM,2019
18,Indiana,14,IN,22,1,REP,2019
19,Iowa,15,IA,31,1,REP,2019
20,Kansas,16,KS,32,0,DIV,2019
21,Kentucky,17,KY,51,1,REP,2019
22,Louisiana,18,LA,45,0,DIV,2019
23,Maine,19,ME,2,1,DEM,2019
24,Maryland,20,MD,52,0,DIV,2019
25,Massachusetts,21,MA,3,0,DIV,2019
26,Michigan,22,MI,23,0,DIV,2019
27,Minnesota,23,MN,33,0,DIV,2019
28,Mississippi,24,MS,46,1,REP,2019
29,Missouri,25,MO,34,1,REP,2019
30,Montana,26,MT,64,0,DIV,2019
31,Nebraska,27,NE,35,NA,NA,2019
32,Nevada,28,NV,65,1,DEM,2019
33,New Hampshire,29,NH,4,0,DIV,2019
34,New Jersey,30,NJ,12,1,DEM,2019
35,New Mexico,31,NM,66,1,DEM,2019
36,New York,32,NY,13,1,DEM,2019
37,North Carolina,33,NC,47,0,DIV,2019
38,North Dakota,34,ND,36,1,REP,2019
39,Ohio,35,OH,24,1,REP,2019
40,Oklahoma,36,OK,53,1,REP,2019
41,Oregon,37,OR,72,1,DEM,2019
42,Pennsylvania,38,PA,14,0,DIV,2019
44,Rhode Island,39,RI,5,1,DEM,2019
45,South Carolina,40,SC,48,1,REP,2019
46,South Dakota,41,SD,37,1,REP,2019
47,Tennessee,42,TN,54,1,REP,2019
48,Texas,43,TX,49,1,REP,2019
49,Utah,44,UT,67,1,REP,2019
50,Vermont,45,VT,6,0,DIV,2019
51,Virginia,46,VA,40,0,DIV,2019
53,Washington,47,WA,73,1,DEM,2019
54,West Virginia,48,WV,56,1,REP,2019
55,Wisconsin,49,WI,25,0,DIV,2019
56,Wyoming,50,WY,68,1,REP,2019
1,Alabama,1,AL,41,1,REP,2020
2,Alaska,2,AK,81,1,REP,2020
4,Arizona,3,AZ,61,1,REP,2020
5,Arkansas,4,AR,42,1,REP,2020
6,California,5,CA,71,1,DEM,2020
8,Colorado,6,CO,62,1,DEM,2020
9,Connecticut,7,CT,1,1,DEM,2020
10,Delaware,8,DE,11,1,DEM,2020
12,Florida,9,FL,43,1,REP,2020
13,Georgia,10,GA,44,1,REP,2020
15,Hawaii,11,HI,82,1,DEM,2020
16,Idaho,12,ID,63,1,REP,2020
17,Illinois,13,IL,21,1,DEM,2020
18,Indiana,14,IN,22,1,REP,2020
19,Iowa,15,IA,31,1,REP,2020
20,Kansas,16,KS,32,0,DIV,2020
21,Kentucky,17,KY,51,0,DIV,2020
22,Louisiana,18,LA,45,0,DIV,2020
23,Maine,19,ME,2,1,DEM,2020
24,Maryland,20,MD,52,0,DIV,2020
25,Massachusetts,21,MA,3,0,DIV,2020
26,Michigan,22,MI,23,0,DIV,2020
27,Minnesota,23,MN,33,0,DIV,2020
28,Mississippi,24,MS,46,1,REP,2020
29,Missouri,25,MO,34,1,REP,2020
30,Montana,26,MT,64,0,DIV,2020
31,Nebraska,27,NE,35,NA,NA,2020
32,Nevada,28,NV,65,1,DEM,2020
33,New Hampshire,29,NH,4,0,DIV,2020
34,New Jersey,30,NJ,12,1,DEM,2020
35,New Mexico,31,NM,66,1,DEM,2020
36,New York,32,NY,13,1,DEM,2020
37,North Carolina,33,NC,47,0,DIV,2020
38,North Dakota,34,ND,36,1,REP,2020
39,Ohio,35,OH,24,1,REP,2020
40,Oklahoma,36,OK,53,1,REP,2020
41,Oregon,37,OR,72,1,DEM,2020
42,Pennsylvania,38,PA,14,0,DIV,2020
44,Rhode Island,39,RI,5,1,DEM,2020
45,South Carolina,40,SC,48,1,REP,2020
46,South Dakota,41,SD,37,1,REP,2020
47,Tennessee,42,TN,54,1,REP,2020
48,Texas,43,TX,49,1,REP,2020
49,Utah,44,UT,67,1,REP,2020
50,Vermont,45,VT,6,0,DIV,2020
51,Virginia,46,VA,40,1,DEM,2020
53,Washington,47,WA,73,1,DEM,2020
54,West Virginia,48,WV,56,1,REP,2020
