state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,std_init_use,evangelical_pop
RI,Rhode Island,1989,0,Anti-bullying,P,2011,998000,1.44247,19389,-0.549245953559876,-0.824678599834442,0,-0.453598409891129,2.5999999
SC,South Carolina,1989,0,Anti-bullying,"",2022,3512000,-1.29204,14931,-0.0695331692695618,-0.829135835170746,0,-0.453598409891129,44.400002
SD,South Dakota,1989,0,Anti-bullying,N,2012,715000,-0.701553,14653,-0.977427423000336,0.154710531234741,1,1.76225590705872,15.7
TN,Tennessee,1989,0,Anti-bullying,"",2022,4940000,-0.589082,15718,-0.452563971281052,0.304377049207687,1,-0.453598409891129,46.599998
TX,Texas,1989,0,Anti-bullying,"",2022,16991000,-0.689465,16165,0.282518684864044,-0.324985384941101,0,-0.453598409891129,32.599998
UT,Utah,1989,0,Anti-bullying,"",2022,1707000,-0.785843,13941,-0.98533034324646,0.467570602893829,1,0.87591415643692,74
VT,Vermont,1989,0,Anti-bullying,P,2001,567000,0.996008,17195,-0.541923642158508,-0.844783425331116,1,-0.453598409891129,2.5
VT,Vermont,1989,0,Anti-bullying,P,2007,567000,0.996008,17195,-0.541923642158508,-0.844783425331116,1,-0.453598409891129,2.5
VA,Virginia,1989,0,Anti-bullying,M,2022,6098000,-0.466474,19614,-0.303710788488388,0.593800902366638,1,-0.453598409891129,25.299999
WA,Washington,1989,0,Anti-bullying,P,2002,4761000,0.739754,18405,0.523221373558044,0.138948649168015,0,0.87591415643692,13
WV,West Virginia,1989,0,Anti-bullying,"",2022,1857000,0.115424,13398,-0.65349292755127,-0.0720311924815178,1,-0.453598409891129,13.1
WI,Wisconsin,1989,0,Anti-bullying,"",2022,4867000,0.910329,17192,0.903311371803284,-0.842182159423828,0,-0.453598409891129,15
WY,Wyoming,1989,0,Anti-bullying,"",2022,475000,-0.643632,16382,-1.06671011447907,0.389795690774918,0,-0.453598409891129,22.6
AL,Alabama,1990,0,Anti-bullying,"",2022,4040587,-1.99865,15618,-0.808178186416626,-0.0376984290778637,0,-0.453598409891129,56.700001
AK,Alaska,1990,0,Anti-bullying,"",2022,550043,0.662571,22594,0.693395018577576,0.480662852525711,0,0.87591415643692,16.799999
AZ,Arizona,1990,0,Anti-bullying,"",2022,3665228,-0.717696,16806,0.302332431077957,-1.30607151985168,0,2.64859747886658,15.5
AR,Arkansas,1990,0,Anti-bullying,P,2011,2350725,-1.85603,14402,-0.72558856010437,0.403701514005661,1,-0.0104275494813919,46.400002
CA,California,1990,0,Anti-bullying,P,2012,29760021,1.9067,21380,3.93285274505615,4.07723426818848,0,7.52347707748413,10.9
CO,Colorado,1990,0,Anti-bullying,P,2011,3294394,-0.267947,19377,0.0382656119763851,-0.684637486934662,0,0.87591415643692,13.6
CT,Connecticut,1990,0,Anti-bullying,P,2011,3287116,1.20284,26198,0.0922517478466034,-0.602335453033447,1,-0.453598409891129,5.4000001
DE,Delaware,1990,0,Anti-bullying,"",2022,666168,0.498297,21209,-0.242534160614014,0.329452395439148,0,-0.453598409891129,11.5
FL,Florida,1990,0,Anti-bullying,"",2022,12937926,-1.03841,19437,0.336888462305069,1.76056778430939,0,-0.453598409891129,19.6
