state_name,year,population_total
NEW YORK,1993,18197000
NORTH CAROLINA,1993,6945000
NORTH DAKOTA,1993,635000
OHIO,1993,11091000
OKLAHOMA,1993,3231000
OREGON,1993,3032000
PENNSYLVANIA,1993,12048000
RHODE ISLAND,1993,1e+06
SOUTH CAROLINA,1993,3643000
SOUTH DAKOTA,1993,715000
TENNESSEE,1993,5099000
TEXAS,1993,18031000
UTAH,1993,1860000
VERMONT,1993,576000
VIRGINIA,1993,6491000
WASHINGTON,1993,5255000
WEST VIRGINIA,1993,1820000
WISCONSIN,1993,5038000
WYOMING,1993,470000
ALABAMA,1994,4219000
ALASKA,1994,606000
ARIZONA,1994,4075000
ARKANSAS,1994,2453000
CALIFORNIA,1994,31431000
COLORADO,1994,3656000
CONNECTICUT,1994,3275000
DELAWARE,1994,706000
FLORIDA,1994,13953000
GEORGIA,1994,7055000
HAWAII,1994,1179000
IDAHO,1994,1133000
ILLINOIS,1994,11752000
INDIANA,1994,5752000
IOWA,1994,2829000
KANSAS,1994,2554000
KENTUCKY,1994,3827000
LOUISIANA,1994,4315000
MAINE,1994,1240000
MARYLAND,1994,5006000
MASSACHUSETTS,1994,6041000
MICHIGAN,1994,9496000
MINNESOTA,1994,4567000
MISSISSIPPI,1994,2669000
MISSOURI,1994,5278000
MONTANA,1994,856000
NEBRASKA,1994,1623000
NEVADA,1994,1457000
NEW HAMPSHIRE,1994,1137000
NEW JERSEY,1994,7904000
NEW MEXICO,1994,1654000
NEW YORK,1994,18169000
NORTH CAROLINA,1994,7070000
NORTH DAKOTA,1994,638000
OHIO,1994,11102000
OKLAHOMA,1994,3258000
OREGON,1994,3086000
PENNSYLVANIA,1994,12052000
RHODE ISLAND,1994,997000
SOUTH CAROLINA,1994,3664000
SOUTH DAKOTA,1994,721000
TENNESSEE,1994,5175000
TEXAS,1994,18378000
UTAH,1994,1908000
VERMONT,1994,580000
VIRGINIA,1994,6552000
WASHINGTON,1994,5343000
WEST VIRGINIA,1994,1822000
WISCONSIN,1994,5082000
WYOMING,1994,476000
ALABAMA,1995,4253000
ALASKA,1995,604000
ARIZONA,1995,4218000
ARKANSAS,1995,2484000
CALIFORNIA,1995,31589000
