state_name,year,population_total,ID,female_pop,male_pop,black_pop,pct_hispanic,pct_white,white_pop,hispanic_pop,pct_female,pct_male,pct_black,hs_educ,hs_pct,college_educ,college_pct,incomepcap,evangelical_pop,pollib_median,state_num,unified,party_control,state.x,state_no,std_bowen1,std_bowen2,popfemale,popmale,pop_black,pop_white,pctblack.y,init,initiatives,std_init_use
MICHIGAN,1989,9273000,122,,,1282140,,,,,,,,,,,,18072,14.5,-0.859959498988488,,0,"",MI,22,4.4977765,-1.9659213,,,,,0.137876659631729,2,0,-0.290064643871566
MINNESOTA,1989,4353000,123,,,92624,,,,,,,,,,,,18744,12.1,-0.860205754218337,,1,"",MN,23,0.3868269,0.11480574,,,,,0.0210888609290123,1,0,-0.290064643871566
MISSISSIPPI,1989,2621000,124,,,913668,,,,,,,,,,,,12499,55.200001,1.6082195131491,,1,"",MS,24,-0.42207909,-0.65323699,,,,,0.350870132446289,1,0,-0.290064643871566
MISSOURI,1989,5159000,125,,,546427,,,,,,,,,,,,16928,29.5,0.274097102787358,,0,"",MO,25,0.3258341,-0.63019919,,,,,0.106808960437775,2,0,-0.290064643871566
MONTANA,1989,806000,126,,,2407,,,,,,,,,,,,14569,14.1,-0.275666543753874,,0,"",MT,26,-1.1807185,-0.13698277,,,,,0.00289720040746033,2,0,-0.290064643871566
NEBRASKA,1989,1611000,127,,,56753,,,,,,,,,,,,16790,16.9,0.0674372758468549,,0,"",NE,27,-0.19911653,-0.16253695,,,,,0.0352863743901253,2,0,-0.290064643871566
NEVADA,1989,1111000,128,,,74552,,,,,,,,,,,,19165,14.4,0.611021550273796,,0,"",NV,28,-0.42905042,0.24657199,,,,,0.0691038221120834,2,0,-0.290064643871566
NEW HAMPSHIRE,1989,1107000,129,,,7157,,,,,,,,,,,,20235,2.5999999,0.188759243995478,,1,"",NH,29,-1.7515938,0.26271883,,,,,0.00628236355260015,1,0,-0.290064643871566
NEW JERSEY,1989,7736000,130,,,1058318,,,,,,,,,,,,23235,5.8000002,-1.24005429550403,,0,"",NJ,30,1.0928619,0.95016527,,,,,0.133199140429497,1,0,-0.290064643871566
NEW MEXICO,1989,1528000,131,,,31274,,,,,,,,,,,,14009,20.700001,0.00440662323029864,,0,"",NM,31,-1.4111826,0.32605916,,,,,0.0196640659123659,1,0,-0.290064643871566
NEW YORK,1989,17950000,132,,,3028788,,,,,,,,,,,,22202,6.5,-1.51116928163598,,0,"",NY,32,4.2334013,0.57047009,,,,,0.15631839632988,1,0,-0.290064643871566
NORTH CAROLINA,1989,6571000,133,,,1444442,,,,,,,,,,,,16454,40,0.982576400968628,,0,"",NC,33,-0.23485844,-0.60344291,,,,,0.218575149774551,1,0,-0.290064643871566
NORTH DAKOTA,1989,660000,134,,,3562,,,,,,,,,,,,14371,12.2,0.774296431351303,,0,"",ND,34,-1.4280978,0.11937662,,,,,0.00528923142701387,2,0,-0.290064643871566
OHIO,1989,10907000,135,,,1148736,,,,,,,,,,,,17672,13.8,-0.28722493795404,,0,"",OH,35,1.5524987,-0.72480279,,,,,0.104274332523346,2,0,-0.290064643871566
OKLAHOMA,1989,3224000,136,,,233827,,,,,,,,,,,,15192,47.200001,0.363617083859652,,0,"",OK,36,0.63574409,-0.63812822,,,,,0.0721568465232849,2,1,0.339392154505543
OREGON,1989,2820000,137,,,45640,,,,,,,,,,,,16956,14.9,-0.862091931936654,,1,"",OR,37,0.015984984,0.24508077,,,,,0.0161805711686611,2,0,-0.290064643871566
PENNSYLVANIA,1989,12040000,138,,,1102048,,,,,,,,,,,,18412,7.5,-0.43882928719968,,0,"",PA,38,2.0356638,1.0280337,,,,,0.0904455855488777,1,0,-0.290064643871566
