state_name,year,hs_educ,hs_pct,college_educ,college_pct
VIRGINIA,2012,1648084.719,20.1332946039803,1227372.793,14.9938032587141
WASHINGTON,2012,1300905.783,18.8618750119617,1008389.529,14.6206723868249
WEST VIRGINIA,2012,588904.742,31.7398197598055,161416.29,8.69974986701074
WISCONSIN,2012,1416505.436,24.7364125930472,743222.318,12.9788798822576
WYOMING,2012,133876.388,23.2258155624796,68028.518,11.8020648425085
ALABAMA,2013,1150898.922,23.8675535558416,513748.188,10.6542044283074
ALASKA,2013,158855.739,21.717951490808,88325.181,12.0753710785031
ARIZONA,2013,1285929.301,19.6227569505536,793560.327,12.1094071114278
ARKANSAS,2013,786274.903,26.6612403111289,281953.018,9.56054573364154
CALIFORNIA,2013,6385822.496,16.7864943457699,5272731.9,13.8604986721057
COLORADO,2013,894380.394,17.2407953069465,892283.893,17.2003814686688
CONNECTICUT,2013,766986.051,21.3624491170352,552759.88,15.395723031785
DELAWARE,2013,228791.61,24.9475090830582,120316.59,13.1193587993353
FLORIDA,2013,4599386.824,23.8093471393501,2556127.748,13.2321405468846
GEORGIA,2013,2155806.936,21.7320452482348,1235445.35,12.454155239772
HAWAII,2013,308746.372,22.1750692552608,212393.849,15.2547486807923
IDAHO,2013,336488.35,21.0868236942637,196561.102,12.3179578223858
ILLINOIS,2013,2671058.805,20.7456769205736,1857302.415,14.4253641190019
INDIANA,2013,1689178.44,25.8389496391036,714560.768,10.9304613776809
IOWA,2013,748179.57,24.3374854351689,404835.63,13.1688723453948
KANSAS,2013,576623.54,19.9806833558277,403081.15,13.9672355812128
KENTUCKY,2013,1120723.238,25.5848644021172,426146.295,9.72844570662825
LOUISIANA,2013,1169787.35,25.4196990238582,485180.764,10.5430692108661
MAINE,2013,357324.686,26.882849580798,181445.507,13.6508124484649
MARYLAND,2013,1191189.837,20.2426218735359,886503.303,15.0648961188792
MASSACHUSETTS,2013,1389347.847,20.9045703343172,1147290.715,17.2625016099561
MICHIGAN,2013,2249457.727,22.7600504990206,1182434.476,11.9638915915235
MINNESOTA,2013,1087220.812,20.2117999181653,870934.234,16.1909598171752
MISSISSIPPI,2013,679085.073,22.7504826920332,267194.694,8.95146794258886
MISSOURI,2013,1454238.045,24.1488034350118,747956.818,12.4204302300171
MONTANA,2013,231220.079,23.003745643646,141472.693,14.07491018673
NEBRASKA,2013,372540.136,20.0773439323103,255240.808,13.7557191630401
NEVADA,2013,621360.806,22.5217957969953,295330.129,10.704513052338
NEW HAMPSHIRE,2013,309468.656,23.4318496454201,219466.62,16.6172203301538
NEW JERSEY,2013,1986238.455,22.4064334052675,1480763.351,16.7042508564976
NEW MEXICO,2013,424204.148,20.3402742122177,214398.679,10.2802576121845
NEW YORK,2013,4106469.16,20.9832110057193,2876854.75,14.7001348116921
NORTH CAROLINA,2013,2031317.494,20.8295968867337,1302135.748,13.3523995154671
NORTH DAKOTA,2013,154457.845,22.0771388509322,103525.925,14.7972815553408
OHIO,2013,3010011.108,26.0737391033179,1386154.616,12.0073423378356
OKLAHOMA,2013,936394.831,24.5462389051122,432069.885,11.3260883868702
OREGON,2013,768130.131,19.6989123836698,549367.349,14.0886795578651
PENNSYLVANIA,2013,3603537.724,28.2330674195615,1681444.506,13.1738141060596
RHODE ISLAND,2013,224983.952,21.4210859456227,157864.62,15.0305457910752
SOUTH CAROLINA,2013,1088966.101,23.0531320528321,569249.587,12.0508672290903
SOUTH DAKOTA,2013,198764.763,23.8511800507347,110624.463,13.2746063497625
TENNESSEE,2013,1661494.801,25.7347005216501,734969.868,11.3838631538497
TEXAS,2013,5054650.44,19.3967959802915,3267234.949,12.5377393506624
UTAH,2013,477606.541,16.72709401892,369472.953,12.939958505047
VERMONT,2013,153566.022,24.5308823646869,101764.638,16.2560462995059
VIRGINIA,2013,1642996.152,20.0711317689379,1276939.664,15.5993209271541
WASHINGTON,2013,1291904.688,18.7313678445101,1048480.182,15.2019480609864
WEST VIRGINIA,2013,584820.036,31.5196689901386,159220.431,8.58140106811799
WISCONSIN,2013,1413083.12,24.6766487414951,770097.044,13.4481928081143
WYOMING,2013,127606.811,22.1381253339625,72405.553,12.5614235997863
ALABAMA,2014,1186441.631,24.6046447932745,511657.35,10.6108442452473
ALASKA,2014,163737.938,22.3854209931246,91524.396,12.5127515383848
ARIZONA,2014,1291403.197,19.7062863721921,813917.001,12.4200416586872
ARKANSAS,2014,782399.991,26.5298486571129,293235.442,9.94311347986916
CALIFORNIA,2014,6512776.18,17.1202191400271,5510538.155,14.4856230562311
COLORADO,2014,930741.121,17.9417139044742,922572.479,17.784248595974
CONNECTICUT,2014,784394.867,21.8473274867304,575844.837,16.0386958976389
DELAWARE,2014,228130.006,24.8753675748998,124954.234,13.6250489591012
FLORIDA,2014,4699213.572,24.3261137840954,2590610.5,13.4106451702409
GEORGIA,2014,2197144.352,22.1487553812042,1281326.404,12.9166684291092
