state,year,pollib_median,state_fips,state_name,stateno,state_icpsr
CT,2018,-2.46023407253855,9,CONNECTICUT,7,1
CT,2019,-2.65009284091445,9,CONNECTICUT,7,1
CT,2020,-2.65193921329184,9,CONNECTICUT,7,1
DE,1987,-0.251872529799092,10,DELAWARE,8,11
DE,1988,-0.325510113059035,10,DELAWARE,8,11
DE,1989,-0.236777806829274,10,DELAWARE,8,11
DE,1990,-0.36491619582008,10,DELAWARE,8,11
DE,1991,-0.227113819740654,10,DELAWARE,8,11
DE,1992,-0.142963466472881,10,DELAWARE,8,11
DE,1993,-0.141587643487368,10,DELAWARE,8,11
DE,1994,-0.145316243836899,10,DELAWARE,8,11
DE,1995,-0.213294525864449,10,DELAWARE,8,11
DE,1996,-0.134233880256482,10,DELAWARE,8,11
DE,1997,-0.140002161659901,10,DELAWARE,8,11
DE,1998,-0.0741317531341976,10,DELAWARE,8,11
DE,1999,-0.368046535619727,10,DELAWARE,8,11
DE,2000,-0.381008453038417,10,DELAWARE,8,11
DE,2001,-0.41189066087545,10,DELAWARE,8,11
DE,2002,-0.321265230638122,10,DELAWARE,8,11
DE,2003,-0.509340721540929,10,DELAWARE,8,11
DE,2004,-0.463235683500373,10,DELAWARE,8,11
DE,2005,-0.518013526540969,10,DELAWARE,8,11
DE,2006,-0.510861511863735,10,DELAWARE,8,11
DE,2007,-0.434512807712405,10,DELAWARE,8,11
DE,2008,-0.413531230112222,10,DELAWARE,8,11
DE,2009,-0.592329008007953,10,DELAWARE,8,11
DE,2010,-0.623024931127657,10,DELAWARE,8,11
DE,2011,-0.578402675322858,10,DELAWARE,8,11
DE,2012,-0.690191161599595,10,DELAWARE,8,11
DE,2013,-1.09702190599053,10,DELAWARE,8,11
DE,2014,-1.02954845882972,10,DELAWARE,8,11
DE,2015,-1.09950580157271,10,DELAWARE,8,11
DE,2016,-1.12567392155382,10,DELAWARE,8,11
DE,2017,-1.27364005862445,10,DELAWARE,8,11
DE,2018,-1.28586880562738,10,DELAWARE,8,11
DE,2019,-1.45581442605909,10,DELAWARE,8,11
DE,2020,-1.43694915937335,10,DELAWARE,8,11
FL,1987,1.06040406659399,12,FLORIDA,9,43
FL,1988,1.10242705022164,12,FLORIDA,9,43
FL,1989,1.03323636179253,12,FLORIDA,9,43
FL,1990,0.932285490031952,12,FLORIDA,9,43
FL,1991,0.930768850648785,12,FLORIDA,9,43
FL,1992,0.20730268700804,12,FLORIDA,9,43
FL,1993,0.238825917903819,12,FLORIDA,9,43
FL,1994,0.426653823878538,12,FLORIDA,9,43
FL,1995,0.44303347734935,12,FLORIDA,9,43
FL,1996,0.46081880163147,12,FLORIDA,9,43
FL,1997,0.359381244552304,12,FLORIDA,9,43
FL,1998,0.427472109188356,12,FLORIDA,9,43
FL,1999,0.465063776631915,12,FLORIDA,9,43
FL,2000,0.436715654119027,12,FLORIDA,9,43
FL,2001,0.465391868920496,12,FLORIDA,9,43
FL,2002,0.493002853802921,12,FLORIDA,9,43
FL,2003,0.478080071600018,12,FLORIDA,9,43
FL,2004,0.504002144232187,12,FLORIDA,9,43
FL,2005,0.577511613937944,12,FLORIDA,9,43
FL,2006,0.669742531497708,12,FLORIDA,9,43
FL,2007,0.618383221503461,12,FLORIDA,9,43
FL,2008,0.692144417211307,12,FLORIDA,9,43
FL,2009,0.743564093598156,12,FLORIDA,9,43
FL,2010,0.726827495291037,12,FLORIDA,9,43
FL,2011,0.823592658815157,12,FLORIDA,9,43
FL,2012,0.849950328215329,12,FLORIDA,9,43
FL,2013,1.01068564792514,12,FLORIDA,9,43
FL,2014,1.03401292613624,12,FLORIDA,9,43
FL,2015,1.03415621394905,12,FLORIDA,9,43
FL,2016,1.07830576064772,12,FLORIDA,9,43
FL,2017,1.11247991141869,12,FLORIDA,9,43
FL,2018,1.14521806976609,12,FLORIDA,9,43
FL,2019,1.24579476697383,12,FLORIDA,9,43
FL,2020,1.27442229649935,12,FLORIDA,9,43
GA,1987,1.34825438726348,13,GEORGIA,10,44
GA,1988,1.3754845041276,13,GEORGIA,10,44
GA,1989,1.32661934464531,13,GEORGIA,10,44
GA,1990,1.26440259667877,13,GEORGIA,10,44
GA,1991,1.27863195980951,13,GEORGIA,10,44
GA,1992,1.25995768778464,13,GEORGIA,10,44
GA,1993,1.25324696473629,13,GEORGIA,10,44
GA,1994,1.29354821208204,13,GEORGIA,10,44
GA,1995,1.31290716800143,13,GEORGIA,10,44
GA,1996,1.28324207008061,13,GEORGIA,10,44
GA,1997,1.32896528288553,13,GEORGIA,10,44
GA,1998,1.34827629953438,13,GEORGIA,10,44
GA,1999,1.30132584461977,13,GEORGIA,10,44
GA,2000,1.27418843730987,13,GEORGIA,10,44
GA,2001,1.28017794780663,13,GEORGIA,10,44
GA,2002,1.28977254807618,13,GEORGIA,10,44
GA,2003,1.30393040106013,13,GEORGIA,10,44
GA,2004,1.39469811326187,13,GEORGIA,10,44
GA,2005,1.4739301476393,13,GEORGIA,10,44
GA,2006,1.54296226842603,13,GEORGIA,10,44
GA,2007,1.5995956977485,13,GEORGIA,10,44
GA,2008,1.64937829954756,13,GEORGIA,10,44
GA,2009,1.73902727026598,13,GEORGIA,10,44
GA,2010,1.77061753956749,13,GEORGIA,10,44
GA,2011,1.83361214566952,13,GEORGIA,10,44
GA,2012,1.89880442842609,13,GEORGIA,10,44
GA,2013,1.99561918086023,13,GEORGIA,10,44
GA,2014,2.04142145614691,13,GEORGIA,10,44
GA,2015,2.0705825450229,13,GEORGIA,10,44
GA,2016,2.0990507513253,13,GEORGIA,10,44
GA,2017,2.13136841513963,13,GEORGIA,10,44
GA,2018,2.17215344767308,13,GEORGIA,10,44
GA,2019,2.19654803937932,13,GEORGIA,10,44
GA,2020,2.17774389620353,13,GEORGIA,10,44
HI,1987,-1.05905509188977,15,HAWAII,11,82
HI,1988,-1.22791872108758,15,HAWAII,11,82
HI,1989,-1.41855516204495,15,HAWAII,11,82
HI,1990,-1.33618362270048,15,HAWAII,11,82
HI,1991,-1.48420359271879,15,HAWAII,11,82
HI,1992,-1.71415883919233,15,HAWAII,11,82
HI,1993,-1.68550737400128,15,HAWAII,11,82
HI,1994,-1.73832163587983,15,HAWAII,11,82
HI,1995,-1.69669791018074,15,HAWAII,11,82
HI,1996,-1.57380204856796,15,HAWAII,11,82
HI,1997,-1.5286229128825,15,HAWAII,11,82
HI,1998,-1.4248823280162,15,HAWAII,11,82
HI,1999,-1.41067622659484,15,HAWAII,11,82
HI,2000,-1.30433888878102,15,HAWAII,11,82
HI,2001,-1.33954649626689,15,HAWAII,11,82
HI,2002,-1.25591292586937,15,HAWAII,11,82
HI,2003,-1.37945323987482,15,HAWAII,11,82
HI,2004,-1.3241830973053,15,HAWAII,11,82
HI,2005,-1.47119466021381,15,HAWAII,11,82
HI,2006,-1.55206624956264,15,HAWAII,11,82
HI,2007,-1.60558469966997,15,HAWAII,11,82
HI,2008,-1.62231946874262,15,HAWAII,11,82
HI,2009,-1.68611058359045,15,HAWAII,11,82
HI,2010,-1.73013295592545,15,HAWAII,11,82
HI,2011,-1.79644678753516,15,HAWAII,11,82
HI,2012,-1.89853113994401,15,HAWAII,11,82
