state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,duration,duration_sq,duration_cub,nbrs_lag,nbrs,lawrence,obergefell,std_init_use,evangelical_pop
,Delaware,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Florida,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Georgia,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Hawaii,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Idaho,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Illinois,1992,0,Anti-bullying,P,2010,,,,,,,,,,,,1,1,,
,Indiana,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Iowa,1992,0,Anti-bullying,P,2007,,,,,,,,,,,,1,1,,
,Kansas,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Kentucky,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Louisiana,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Maine,1992,0,Anti-bullying,P,2012,,,,,,,,,,,,1,1,,
,Maryland,1992,0,Anti-bullying,P,2008,,,,,,,,,,,,1,0,,
,Massachusetts,1992,0,Anti-bullying,P,2014,,,,,,,,,,,,1,0,,
,Michigan,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Minnesota,1992,0,Anti-bullying,P,2014,,,,,,,,,,,,1,1,,
,Mississippi,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Missouri,1992,0,Anti-bullying,N,2006,,,,,,,,,,,,1,1,,
,Montana,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,0,,
,Nebraska,1992,0,Anti-bullying,"",2022,,,,,,,,,,,,1,1,,
,Nevada,1992,0,Anti-bullying,P,2015,,,,,,,,,,,,1,1,,
,New Hampshire,1992,0,Anti-bullying,N,2010,,,,,,,,,,,,1,0,,
,New Jersey,1992,0,Anti-bullying,P,2002,,,,,,,,,,,,1,0,,
